,precision,recall,f1-score,f2-score,ap-score,support
Continuous urban fabric,0.6900647948164147,0.24195380537675124,0.3582842724978974,0.2780678851174935,0.4972472409466225,2641.0
Discontinuous urban fabric,0.809072375127421,0.5043848500254194,0.6213888671416269,0.5454682904032768,0.725567987179198,15736.0
Industrial or commercial units,0.659217877094972,0.16809116809116809,0.26787741203178206,0.19752259792433882,0.3708322249440531,2808.0
Road and rail networks and associated land,0.3181818181818182,0.013725490196078431,0.02631578947368421,0.01697381183317168,0.06796578161647496,510.0
Port areas,0.8,0.1,0.1777777777777778,0.12121212121212122,0.3452617063696622,80.0
Airports,0.0,0.0,0.0,0.0,0.01627513382029332,137.0
Mineral extraction sites,0.0,0.0,0.0,0.0,0.04451543491449921,478.0
Dump sites,0.0,0.0,0.0,0.0,0.02924682305733956,83.0
Construction sites,0.0,0.0,0.0,0.0,0.011049564750651178,159.0
Green urban areas,0.52,0.0896551724137931,0.15294117647058825,0.10743801652892562,0.22193309820643442,290.0
Sport and leisure facilities,0.1,0.0016556291390728477,0.003257328990228013,0.002061005770816158,0.05332546693475117,604.0
Non-irrigated arable land,0.8051822721899201,0.7451383152113242,0.7739975416869593,0.756419845425081,0.8651948169241025,44789.0
Permanently irrigated land,0.5406976744186046,0.028164748637189582,0.0535405872193437,0.034753363228699555,0.26314985689048465,3302.0
Rice fields,0.6666666666666666,0.0030721966205837174,0.006116207951070337,0.0038358266206367465,0.09523118776645516,651.0
Vineyards,1.0,0.0008888888888888889,0.0017761989342806395,0.0011108642523883583,0.11906312250052731,2250.0
Fruit trees and berry plantations,0.5086206896551724,0.08404558404558404,0.14425427872860636,0.10088919288645691,0.16536600185928918,702.0
Olive groves,0.5779816513761468,0.020601700457815567,0.039785285759393746,0.025524673851389682,0.2633713523042218,3058.0
Pastures,0.7880061823802164,0.5273479520066198,0.6318502912380717,0.5647069248150282,0.759592776168087,24170.0
Annual crops associated with permanent crops,0.6477272727272727,0.09799426934097422,0.17023394723743154,0.11802871341800109,0.2743889281288072,1745.0
Complex cultivation patterns,0.6797415004214667,0.47179967236133863,0.556995832661801,0.5025468021637433,0.6530656395841753,25638.0
"Land principally occupied by agriculture, with significant areas of natural vegetation",0.6816938556217642,0.4354486459503307,0.5314320526977117,0.46935742053510177,0.6462170254541634,32052.0
Agro-forestry areas,0.7032465336489685,0.5727861176146536,0.6313472485768501,0.5948566851650552,0.7174165638906929,7261.0
Broad-leaved forest,0.7342970297029703,0.543246410782303,0.624486359043449,0.5730666996352847,0.740970937058493,34130.0
Coniferous forest,0.81698297895481,0.7600677931802085,0.7874983619446992,0.770807466163176,0.8712803580413153,39532.0
Mixed forest,0.7589976006398294,0.7344339954503881,0.7465137898977379,0.7392186946772099,0.8136923409981739,42641.0
Natural grassland,0.7338501291989664,0.10616822429906542,0.1854996734160679,0.12807792910616037,0.3220414013617411,2675.0
Moors and heathland,0.7142857142857143,0.10186757215619695,0.17830609212481427,0.12295081967213116,0.22368037863471046,1178.0
Sclerophyllous vegetation,0.6201298701298701,0.2836984775343483,0.3892993630573248,0.31822725758080633,0.4775876767510517,2693.0
Transitional woodland/shrub,0.6452183327318658,0.493744994614896,0.5594092708186668,0.5180697057153123,0.6538191754381708,36211.0
"Beaches, dunes, sands",0.6063829787234043,0.2579185520361991,0.36190476190476195,0.2914110429447853,0.36741389431998334,221.0
Bare rock,0.4968944099378882,0.18018018018018017,0.2644628099173554,0.20650490449148162,0.2738471703935973,444.0
Sparsely vegetated areas,0.4358974358974359,0.10303030303030303,0.16666666666666669,0.12160228898426324,0.17844316276928837,165.0
Burnt areas,0.0,0.0,0.0,0.0,0.00360031867055635,36.0
Inland marshes,0.8333333333333334,0.0073964497041420114,0.01466275659824047,0.00922509225092251,0.09547386054535412,1352.0
Peatbogs,0.75493316359007,0.29495150460084557,0.4241773962804006,0.3358821863494761,0.5092263591447156,4021.0
Salt marshes,0.868421052631579,0.1274131274131274,0.2222222222222222,0.1536312849162011,0.29486284059714096,259.0
Salines,0.0,0.0,0.0,0.0,0.28559441861372525,105.0
Intertidal flats,1.0,0.03592814371257485,0.06936416184971098,0.04451038575667656,0.19511554486157726,167.0
Water courses,0.75,0.21963824289405684,0.3397734843437708,0.25581861958266455,0.44235256663057787,2322.0
Water bodies,0.8218575226918493,0.6421203438395415,0.7209554831704669,0.6714908535215065,0.8149323662656444,13960.0
Coastal lagoons,0.6842105263157895,0.22478386167146974,0.3383947939262473,0.2596537949400799,0.4096318058160547,347.0
Estuaries,1.0,0.0199203187250996,0.0390625,0.024777006937561942,0.22234616812749008,251.0
Sea and ocean,0.9545268810927559,0.9371310676829617,0.945748987854251,0.9405593198891022,0.9812229719007615,17449.0
micro avg,0.7640194407715781,0.5742222511054609,0.6556617774369883,0.6042433978639974,0.7596924114966203,369303.0
macro avg,0.5982865145159293,0.23675334348570923,0.2913390937700456,0.2540990556806169,0.3809863593290956,369303.0
weighted avg,0.7499535005886235,0.5742222511054609,0.6333087978524045,0.5954235490284451,0.7287245487158361,369303.0
samples avg,0.7720498292590836,0.6420633501892538,0.6714848394348815,0.6485503526875799,0.8219507232707728,369303.0
