,precision,recall,f1-score,f2-score,ap-score,support
Urban fabric,0.8322482638888888,0.6417336010709505,0.724678760393046,0.6725238496071829,0.8312771646682573,17928.0
Industrial or commercial units,0.7595573440643864,0.2688746438746439,0.39715938979484483,0.30876819892033375,0.5185425688903719,2808.0
Arable land,0.8499671328512818,0.7952916224814423,0.8217208848762422,0.8056566559383285,0.9164345971023709,47150.0
Permanent crops,0.6834650856389987,0.3046095126247798,0.42140536149471974,0.3425901466120724,0.5401830622140286,6812.0
Pastures,0.7853673193449847,0.6488622258998759,0.7106187272027005,0.672230366312613,0.8193847847244125,24170.0
Complex cultivation patterns,0.7196686390532544,0.5929869724627506,0.6502149134999893,0.6146251930431689,0.7343742981403222,25638.0
"Land principally occupied by agriculture, with significant areas of natural vegetation",0.7115167633784655,0.5508860601522526,0.6209819230498699,0.5769356440819741,0.7207725492390775,32052.0
Agro-forestry areas,0.7670922902860837,0.653628976724969,0.7058298631766805,0.673554540035764,0.8104858890723436,7261.0
Broad-leaved forest,0.7538021876950366,0.672370348666862,0.710761463769687,0.6872181261716668,0.8085451952899118,34130.0
Coniferous forest,0.8532015703262488,0.797151674592735,0.8242248290112074,0.807764670901196,0.9110075979631176,39532.0
Mixed forest,0.770394751880043,0.7904129828099716,0.7802754948489409,0.7863265410871016,0.849461346405999,42641.0
Natural grassland and sparsely vegetated areas,0.6438127090301003,0.2750982493747767,0.3854818523153942,0.31068431245965145,0.4543377524706525,2799.0
"Moors, heathland and sclerophyllous vegetation",0.6068535825545172,0.5047939880798135,0.5511387749328053,0.5223640459079696,0.5839656140046869,3859.0
"Transitional woodland, shrub",0.6645628127888814,0.5757366546077158,0.6169690154183065,0.5915500950543371,0.7012734090091436,36211.0
"Beaches, dunes, sands",0.4236111111111111,0.5520361990950227,0.4793713163064833,0.5204778156996587,0.46810498136202916,221.0
Inland wetlands,0.7245009074410164,0.37315386053467936,0.49259624876604136,0.4132334064842036,0.559380638606578,5349.0
Coastal wetlands,0.6451612903225806,0.3225806451612903,0.4301075268817204,0.3584229390681003,0.4482600876805374,310.0
Inland waters,0.8837613976473864,0.7848797675712431,0.8313907805133577,0.802845399936769,0.9106074398348645,16177.0
Marine waters,0.9495771157679255,0.9780280752371969,0.9635926310610616,0.9722023054437151,0.9922921043633566,18023.0
micro avg,0.786486912645853,0.6869042143272253,0.7333302948817283,0.704750918963888,0.8357098919708361,363071.0
macro avg,0.7383222250037469,0.5833218979485773,0.6378168293322684,0.6021039080403057,0.7146679516337927,363071.0
weighted avg,0.7813576212034418,0.6869042143272253,0.7269850275958897,0.7017963271450249,0.8138033727795654,363071.0
samples avg,0.8181086291316615,0.7371820692906212,0.7507102413306233,0.7376333283343895,0.8778500843152652,363071.0
