,precision,recall,f1-score,f2-score,ap-score,support
Urban fabric,0.8158700696055684,0.4903502900490852,0.6125492108838797,0.5328718464727775,0.7336253421564087,17928.0
Industrial or commercial units,0.6614285714285715,0.1648860398860399,0.26396807297605474,0.19401609118337243,0.3696077916286964,2808.0
Arable land,0.8109878806851214,0.7692258748674443,0.7895550330895158,0.7772306083438338,0.8814848500756732,47150.0
Permanent crops,0.6958277254374159,0.15179095713446858,0.24921667871776332,0.17992621980928517,0.4237724044248118,6812.0
Pastures,0.7833538840937114,0.5256930078609847,0.6291656350581827,0.562710363153233,0.7608323529451855,24170.0
Complex cultivation patterns,0.6832607342874922,0.47109758951556285,0.5576820962714996,0.5022914604629498,0.6552584446608336,25638.0
"Land principally occupied by agriculture, with significant areas of natural vegetation",0.681037386325362,0.4415949082740547,0.5357812056402006,0.4749951339342645,0.6494979071737573,32052.0
Agro-forestry areas,0.710833047651697,0.5711334526924666,0.6333715158457427,0.5945008314696943,0.7239875747427185,7261.0
Broad-leaved forest,0.7385400997545721,0.5466451801933783,0.6282664331896552,0.5766092643186511,0.7440615898542601,34130.0
Coniferous forest,0.8180535966149506,0.7629262369725792,0.7895287958115182,0.7733491969066033,0.8719981748249213,39532.0
Mixed forest,0.7617347806027052,0.7356534790459887,0.7484669895731432,0.7407258731020804,0.8139940361430797,42641.0
Natural grassland and sparsely vegetated areas,0.7055449330783938,0.13183279742765272,0.222155328115593,0.15743664135165117,0.334929050337996,2799.0
"Moors, heathland and sclerophyllous vegetation",0.6317880794701987,0.2472143042238922,0.3553734401192028,0.28148235571816355,0.4457428682178863,3859.0
"Transitional woodland, shrub",0.6464136553477392,0.49153572118969374,0.5584350390612745,0.5162751843321982,0.6545088073628148,36211.0
"Beaches, dunes, sands",0.671875,0.19457013574660634,0.30175438596491233,0.22679324894514766,0.3744608635090991,221.0
Inland wetlands,0.7485207100591716,0.23649280239297066,0.35942605483733486,0.27397556960928704,0.4465437773316673,5349.0
Coastal wetlands,0.8666666666666667,0.08387096774193549,0.15294117647058825,0.10236220472440946,0.31859606020175557,310.0
Inland waters,0.8277414996622382,0.6817085986276813,0.7476610169491525,0.7066422319334623,0.8326274597845478,16177.0
Marine waters,0.9635347658275246,0.9280363979359707,0.9454524899666497,0.9349252663469385,0.9847600807197409,18023.0
micro avg,0.7689795515302847,0.6005381867458431,0.6744002981690749,0.6280525813071126,0.7839895277634554,363071.0
macro avg,0.7485796361367948,0.4540136179883398,0.5305658209758876,0.4794273469535792,0.6326468124260977,363071.0
weighted avg,0.7599821092191713,0.6005381867458431,0.6606990749224247,0.6221303491436408,0.7563932828646744,363071.0
samples avg,0.7898117839607202,0.6649666034348951,0.6929225491076983,0.6708296195155932,0.8406504180432048,363071.0
