,precision,recall,f1-score,f2-score,ap-score,support
Urban fabric,0.8147404907415853,0.49821508255243196,0.6183240455505175,0.5401874811006955,0.7379454449633277,17928.0
Industrial or commercial units,0.6614509246088194,0.1655982905982906,0.2648818000569638,0.19480519480519481,0.3822685626320596,2808.0
Arable land,0.811494304321554,0.769034994697773,0.7896943364585716,0.7771676461636723,0.8829873364107023,47150.0
Permanent crops,0.7018970189701897,0.15208455666470932,0.25,0.1803370004177691,0.4335421501477066,6812.0
Pastures,0.7894445809781273,0.5316094331816301,0.6353656727488503,0.568761287581005,0.7657400032924268,24170.0
Complex cultivation patterns,0.6891434375352669,0.47636321085888134,0.5633302583025829,0.5077157157822971,0.6610961392753593,25638.0
"Land principally occupied by agriculture, with significant areas of natural vegetation",0.6878379707010127,0.4365406214900786,0.5341069588120777,0.4709525412319085,0.6525088975004572,32052.0
Agro-forestry areas,0.7158735672108371,0.5676904007712437,0.6332283585528843,0.5922073444054939,0.7268984416380417,7261.0
Broad-leaved forest,0.7428162063201464,0.5468502783474949,0.6299446469555825,0.5773109139725079,0.7483942838384179,34130.0
Coniferous forest,0.8206408996615351,0.7605231205099666,0.7894391345446908,0.7718315499784355,0.874530412576895,39532.0
Mixed forest,0.7631969265932356,0.7360990595905349,0.7494031133607105,0.7413635912721844,0.8174194776973147,42641.0
Natural grassland and sparsely vegetated areas,0.7053231939163498,0.1325473383351197,0.22315789473684214,0.15824944548711822,0.3458740905000185,2799.0
"Moors, heathland and sclerophyllous vegetation",0.6457023060796646,0.23944026949987043,0.3493383742911153,0.2739076302839865,0.45925165838375764,3859.0
"Transitional woodland, shrub",0.6499178981937602,0.49186711220347407,0.5599534708249497,0.5170131611794553,0.6567752315440745,36211.0
"Beaches, dunes, sands",0.6835443037974683,0.24434389140271492,0.36,0.2803738317757009,0.40542320729374404,221.0
Inland wetlands,0.7483562462641961,0.23406244157786502,0.35659356308743945,0.2713598335428497,0.44953849002822566,5349.0
Coastal wetlands,0.9032258064516129,0.09032258064516129,0.16422287390029325,0.1101494885916601,0.32383831804840146,310.0
Inland waters,0.8289354644149578,0.6796686653891327,0.7469175639414422,0.7050607910531985,0.8396107763483746,16177.0
Marine waters,0.9652980587527916,0.9353048881984132,0.9500648142929606,0.9411534811009993,0.9868035133147,18023.0
micro avg,0.772162556069675,0.6011992144787108,0.676039674489551,0.6290548298297145,0.7873999286905172,363071.0
macro avg,0.7541494529217426,0.4572719071849887,0.5351561516009724,0.48315304893295435,0.6394971808123161,363071.0
weighted avg,0.7631558790321041,0.6011992144787108,0.6622371539037414,0.6230947208490338,0.7601652386719122,363071.0
samples avg,0.7930565802028309,0.6660616865404099,0.6947358549232765,0.6721798332041067,0.84332435275315,363071.0
